Title,Body,Commerce,Image,Author,UUID,Created
Very impressed,"When I was told I was being sent here on business I really had minimal expectations, simply because I had never been to Australia before. Boy was I impressed. Probably the friendliest people ever, and was eager to lend advice or directions whenever I needed it. I never felt like a tourist, but rather greeted by so many people that wanted me to see what their city had to offer. The views, attractions, and hotel experience were all above par. ",Make This Your New Office,,StephenDay,1f1f9add-2770-4bba-98ad-c1d7df52b602,1378062061
Will be returning soon!,"Sydney was all that I thought it was going to be, and more. The hotel even had a day where for a few hours we could get a discounted rate to the local zoo to check out some kangaroos and other animals. It was great. my work conference was incredible, as the staff was extremely accomodating and helpful. The hotel food was great too. And best of all, free wifi with stunning views. How can you beat that? I will be returning.",Make This Your New Office,,PaulSimon,086a2388-091c-41b4-abc4-2580d5281af1,1373942013
"Close to the airport, great rental car deals","The closeness to the local airport was really awesome. I didn't feel rushed on my last day, and was able to feel relaxed until the very end of my stay. The hotel even partnered with a rental car service to make sure that if we needed to rent a car, the rates were affordable and even welcoming. It made coming here for business extremely convenient and worthwhile.",Make This Your New Office,,EricaWebb,469a2886-4148-4554-a151-9eff805b2910,1370066498
Local restaurants were incredible,"When I first got to Sydney I was told about the many varieties of restaurants and foods the city had to offer, and they weren't kidding. The seafood was incredible and inspired Chinese menus by the water was such a neat experience. ",Stunning Views in Sydney,,StephenDay,d21595aa-03d1-4f46-b85d-06be005e3cc8,1367072858
"Family fun, to an extent","I brought my husband and two teenage boys here on vacation and wasn't thoroughly impressed. There was enough to do with great views and attractions, but there wasn't a lot we could do with them. It felt like more of a romantic destination rather than fun for the whole family.",Stunning Views in Sydney,,EmilyPhillips,1a6c0c5d-1ba6-4441-bb1e-9b2ef14ca990,1393303272
The kids had just as much fun as me,"My kids had so much fun on our family vacation. They spent the days at the beach and pool, nights at the acquarium or theme parks. I had just as much fun as they did, which is very rare in our family. The variety of options Syndey offers for things to do with your family seems never ending and it was a blast for all four days we were here.",Stunning Views in Sydney,,EricaWebb,d60c2a80-d73f-4bd7-9275-4149be978a7b,1392360300
Weather was spotty,"Sydney has some of the best weather to offer when it cooperates. Every day was tropical, but not too humid. It did rain a lot when I was there but weather is something you can't predict. My advice would be to carry an umbrella or two when it rains because when it rains it comes down in buckets.",Stunning Views in Sydney,,PaulSimon,01d31025-aa16-4f89-a310-8a8843c0cabc,1391000341
Tons of attractions!,"I never knew how many things there were to do in Syndey besides the beach, views and great food! There were parks, acquariums, zoos and even the Famous Sydney Opera House. I actually spent a day at the local contemporary museum and it was one of the highlights of my trip. I even went to a cricket match! There is so much this great city has to offer.",Stunning Views in Sydney,,EricaWebb,a0fce7c0-c145-44ae-956e-e75ba2d8e902,1388394300
I felt like Indiana Jones,"Around every corner I was met with a surprise adventure. From going through the trails of the park to exploring the caves by the beach, I felt like Indiana Jones, excpet there was no danger I promise.  ",Stunning Views in Sydney,,JenniferThomson,bb06121e-1795-4f21-8e6f-36a79ea9f0e2,1384128000
Bring your patience,"Because there are so many wonderful attractions and things to do in Sydney, it's a tourist hotbed and if you don't bring your patience it will not be enjoyable. I needed to remember that everyone was there for the same reaosn I was, which was to get away from their normal lives and see some truly majestic views. Sydney is a beautiful city and the accomodations of the local cuisine and hotels only enhance that. But everyone else knows that too, so be patient when you're out and about because lines will be long and traffic will be bad.",Stunning Views in Sydney,,TomCasey,d1008f61-f024-4fa2-a984-70eab61af951,1383194684
Great getaway destination,"I'm a big beach and surf person and Sydney was the best destination to do both. Waves were always incredicle and the weather to compliment that was perfect. I surfed all day, every day that I was there and the locals were great at giving me some tips and advice. I even learned some new moves that the surfers by my hotel had to share. Then they invited me to hang out with them at night. Truly an awesome experience!",Stunning Views in Sydney,,MelissaBrady,fa4b2465-00d3-452c-aa7f-f5b56d79eb4f,1381313409
Best anniversary ever!,My husband surprised me for our 20th wedding anniversary by taking me to Sydney and it was the most romantic getaway yet. Water views and incredible weather make the occasion extremely special. He even founf this small beach near our hotel where we enjoyed a picnic while watching the sunset. Truly breathtaking. Hopefully he'll take me back soon =).,Stunning Views in Sydney,,MollyTravels,5907fb19-52bb-4478-94e3-da1bb1684f16,1378062061
What a great birthday surprise!,My fiancee took me here for my 28th birthday and it was the best surprise. We spent all day at the beach and nights either sight-seeing or enjoying a waterfront view from some of the best restaurants Sydney has to offer.,Stunning Views in Sydney,,PaulSimon,d6627898-af5d-49aa-bb12-7f12f85fd8f1,1373942013
Nicest hotel staff I've seen!,"As soon as I got out of the cab to walk to the hotel, I was met by a member of the staff who took my bags and helped me find my room. While in the elevator he told me all of the great restaurants, attractions and social hotspots Luxor had to offer. He even let me know the hotel pool and hot tub hours. Room service was great, cleaning staff was extremely friendly and I felt extremely safe to leave any valuables in my room. Oh and of course, how could I forget? The balloon ride was amazing!",Explore Egypt by Air,,MollyTravels,548de844-573e-4a7e-8a1d-aaa4cf0fd82a,1388394300
I didn't want to leave,"When it came time to go home, I didn't want to. I'll definitely be taking another baloon ride sometime.  It was really crazy but awesome at the same time. The three days that I was there felt like the best time i had ever had. No matter where you were outside, the weather and scenery didn't disappoint. The staff was incredible with the recommendations, I felt like I really saw Luxor had to offer. Definitely suggesting a return for return trips. My eyes have been opened to Egypt!",Explore Egypt by Air,,JenniferThomson,09befc61-56fa-4bc8-9d17-d90a598c5569,1378062061
You'll see more than Pyramids and Sphinx,Oh to see the world from the eyes of the gods!  Wow.  I can't remember the last time I felt so alive.  You simply must do this.  You'll never regret it.  I can't wait to come back and do it all over again.,Explore Egypt by Air,,EricaWebb,18052de0-9dde-11e3-a5e2-0800200c9a66,1367064732
I'm not Andy Warhol but I know what I like!,"And I loved this loft.  Being in the middle of SoHo was a fun experience.  It was great feeling like I had my own apartment when I was in NYC, but also having the concierege available.  This is the best place to stay in the city and I'll definitely give it another go next time I'm in the states.",Artist Lofts in New York City,,StephenDay,2cacd150-b36c-11e3-a5e2-0800200c9a66,1367067742
This was AMAZING!,"As an art buff, I've usually stayed with friends when visiting SoHo. This time, I was the one hosting friends at my own loft.  So much fun!",Artist Lofts in New York City,,MollyTravels,403d0ecd-b17a-4f9f-941d-b101fd4e47bc,1395676742
