Source Title,Language,Title,Body,Image,Video,Interests,UUID,Created
Historic Squares of Saint Petersburg,es,Plazas Históricas de San Petersburgo,"<p> Construido como ""ventana a Europa"" de Rusia, San Petersburgo es una ciudad rusa situada en el río Neva en el fondo del golfo de Finlandia, en el Mar Báltico. El corazón de la ciudad, la Plaza de San Pedro, es un enorme plaza hostoric. En el centro de la plaza se encuentra un obelisco egipcio de cuatro mil años de antigüedad, construida en el sitio en 1568. Esta ciudad Federal es un hogar a las bellas artes, arquitectura histórica, vida nocturna y una rica tradición cultural. Mientras esté allí, asegúrese de tomar en una de clase mundial de ópera o ballet producciones y visitar algunos de los muchos parques y museos de la ciudad. Con un sistema de desarrollo de la infraestructura, San Petersburgo se está convirtiendo en uno de los centros más importantes del mundo de la cultura y el turismo. Más de 4 millones de habitantes llaman a esta famosa casa de la ciudad y es fácil ver por qué este histórico de la ciudad sigue creciendo.</p>",st-petersburg.jpg,http://www.youtube.com/watch?v=p8BG4GQl6Kk,"Russia, Culture, Parks, Museums",0b641d62-712d-44bb-8284-80d6654c3a2a,1370066498
Island Life in Puerto Rico,es,Vida de la isla de Puerto Rico,"<p>Puerto Rico es la isla más emocionantes en el Caribe! Si eres un aventurero, te alegrará saber que Puerto Rico es uno de los mundos mejores campos de juego bajo el agua. Si usted está en busca de playas, Puerto Rico tiene mucho - más de 270 kilómetros de ellos! Si la exploración está en su agenda, que ya conozca la historia de Puerto Rico es anterior a la América Colonial por más de 100 años. Uno de los mejores lugares para tomar en la historia de Puerto Rico es el Castillo de San Felipe del Morro (o El Morro), construido en 1540, esta fortaleza tomó 250 años en completarse. Conocida por su rica historia española y vistas increíbles, Puerto Rico es un gran lugar de vacaciones.</p> De hecho, se puede pasar por alto el simple placer de la vida en la isla cuando están ocupados corriendo por allí y ver todo lo que la isla tiene para ofrecer. Recuerde tomar algún tiempo para relajarse mientras se encuentra en Puerto Rico y disfrutar de la velocidad de la vida en la isla. No te arrepentirás si usted toma en uno de los muchos centros turísticos de la isla - estos destinos son lugares excelentes para el balneario, relajación, natación, golf y otras actividades. Lo más importante es que llegan en un gran precio. <a href=""#contact-us"">Hable con un agente de viajes Nexus hoy</a> acerca de su próximo viaje a las islas.</p>",puerto-rico.jpg,http://www.youtube.com/watch?v=CQLD5xBm4sE,"Tropical, Spa, Resort, Recreation, Adventure",6631a019-5a80-4727-948b-5a63ab780509,1367072858
Bike the USA,de,Radfahren USA-Städte,"<p> Um diese Liste zu machen, werden Sie getrennte Radwege , kommunale Fahrradständer und Fahrradstraßenmüssen - nicht, eine fülle Qualitätsfahrradlädenerwähnen.</p><p>Portland, OR - Mit Fahrrad -only bezeichnet Bereichen, Fahrrad spezifischen Verkehrssignale und ein Programm, das verschenkt kostenlose Fahrradbeleuchtung, ist es einfach zu sehen, warum auch nicht- erfahrene Radfahrer fühlen sich in Portland</p><p>Minneapolis, MN - Man könnte denken, das kalte Klima würde halten diese Stadt nach unten, aber Minneapolis ist die Heimat von 120 Meilen Fahrradwege.</p><p>Boulder, CO - Heimat für viele Top- Radprofis ist die dünne Luft Colorado der perfekte Ort, um zu trainieren. Kombinieren Sie das mit 120 Meilen von Wanderwegen und Sie eine Gewinnkombination gefunden haben, </p><p>San Francisco , CA - Lassen Sie sich nicht der Nebel in die Quere kommen , hat SF auf Fahrrad-freundliche Gesetze seit dem frühen konzentriert 70er Jahre. Diese Stadt hat den höchsten Anteil an Fahrradpendlerin den USA </p> <p>Chicago , IL - Die Stadt hat breite Schultern unserer Liste in den letzten Jahren durch eine der beliebtesten Bike-Sharing- Programme im Land geklettert. Chicago ist auch die Heimat von mehr als 110 Meilen von Fahrradwegen , von denen viele aus dem Verkehr geschützt. </p>",bike.jpg,http://www.youtube.com/watch?v=6LgD9A0IwFI,"USA, Recreation, Family Friendly",2f5b0317-6867-49f5-8a4b-6fec7f856d1c,1393303272
36 Hours in Brooklyn,de,36 Stunden in Brooklyn,"<p>Mit einem Spaziergang entlang der Uferpromenade cobbleston Straßen unter der Manhattan-Brücke in Richtung Binnen Atlantic Avenue starten.</p><p>Weiter Kopf, um ein bisschen Licht-Shopping an einem oder vielen der Bezirks-Shops</p><p>Es gibt viele Möglichkeiten für das Abendessen und Bars gibt es zuhauf. Es hängt alles von Ihrer spezifischen Geschmack.</p><p>Am nächsten Morgen, besuche einige der lokalen Brunch Tarif.</p><p>Jetzt schnappen Sie sich einen gemeinsamen Rad-und Kopf auf die Brooklyn Botanic Garden in irgendeiner Gartenbau einweichen</p><p>Wenn Sie allergisch auf Pollen sind, weiterhin Radfahren in Williamsburg, so lange Sie nicht allergisch auf die tragisch Hüfte sind auch...</p><p>Schauen Sie sich eine Buchhandlung, Galerie oder Café und reiben Ellbogen mit Künstlern, Entscheidungsträger und Exzentriker gleichermaßen.</p><p>Bleiben, um für etwas Musik am Pool Union oder Brooklyn Bowl, während Sie in der Stadt.</p><p>Bevor Sie gehen, erinnern , dass New York die Pizza captial der Welt. Dürfen wir vorschlagen, L & B Spumoni Gardens? Diese Bensonhurst Wahrzeichen wurde serviert Scheiben und Eis seit 1939.</p>",brooklyn.jpg,http://www.youtube.com/watch?v=7ia5tKjVhEw,"USA, Foodie, Culture, Off The Beaten Path",9209e794-f907-48e0-ad74-ae20927f17b3,1392360300
Taxi Cabs in New Dehli,de,Taxis in New Dehli,"<p>Selbst die grisled Globetrotter kann bestätigen: mit dem Taxi in New Delhi kann verwirrend sein </p> Regel 1:. Dies ist nicht NYC! Seine unmöglich, ein Taxi auf der Straße anhalten, aber Sie besser finden, eine Schlange von Taxis in der Nähe von Touristen attrations und andere hoch trafficed Bereiche sind </p> Regel 2:. Kommunizieren Sie mit Ihrem Fahrer - die meisten sprechen Englisch. Manchmal kann das Messgerät nicht sichtbar sein. Stellen Sie sicher, dass Sie Kenntnis von der Rate, bevor Sie stimmen zu, eine Fahrt </p> Regel 3:. Buchen Sie frühzeitig und oft! Es ist in der Regel ein Run auf Taxis während der Hauptreisezeiten , sondern viel rufen Sie vorher Dienste verfügbar sind </p> Unser letzter Tipp:. Halten Sie Ihr Hotel Nummer bereit. Im Zweifelsfall immer an die nächstgelegene Hotel zu gehen und an den Concierge oder Manager um Hilfe. Befolgen Sie diese einfachen Tipps und Sie werden eine Neu-Delhi Taxi Magier zu sein.</p>",taxi.jpg,http://www.youtube.com/watch?v=BZDxVUa47D8,"India, Off The Beaten Path, Culture",cdab2ffa-9100-47e1-8cbc-b8c9f7e75662,1391000341
Get Cultured. Tour London.,de,London: das Kulturmagnet zieht an,"<p>Jeder weiß, dass London ein Zentrum für allem ist, ob Kunst, Handel, Bildung, Mode oder Transport. Was Sie vielleicht nicht wissen ist, dass 300 Sprachen unter Londons 8 Millionen Einwohnern gesprochen werden. Multikulti ist das, was London ausmacht. </p> Im August gibt es die Notting Hill Carnival. Schlendern Sie durch die Portobello Road Markt und kaufen was beim Strassenimbiss. Churros auf dieser Weise nicht zu geniesse wäre schon schade. </p> Machen Sie einen Doppeldecker-Bus Tour. Sie sehen ein West End Musical. Besuchen Sie der Westminster Abbey. Schnappen Sie einen Fahrrad, und erleben Sie die Stadt hautnah. Bitte Schlucht selbst auf den vielen köstlichen Restaurants London zu bieten hat. Bestaune den Tower of London, Big Ben, Buckingham Palace. Aber vergessen Sie nicht, viel Geld zu bringen. London ist nicht billig. </p>",london.jpg,http://www.youtube.com/watch?v=RKNBIitoXMQ,"UK, Culture, Business, Europe",a037d8be-c399-4e54-9468-c63a633fde2c,1388394300
The Imposing Skylines of New York,de,Die imposante Skyline von New York,"<p>Die Gebäudeform sehr eng mit New York verbunden ist, ist der Wolkenkratzer , die kontrovers verschoben hat viele Gewerbe-und Wohnviertel von low-rise Hochhaus . Meist umgeben von Wasser, hat die Stadt zu einer der größten und abwechslungsreiche Sammlung von Wolkenkratzern in der Welt angehäuft. New York hat architektonisch bedeutsamen Gebäuden in einer breiten Palette von Stilen Spanning unterschiedliche historische und kulturelle Perioden. Dazu gehören das Woolworth Building (1913) , ein frühes neugotischen Hochhaus mit großen gotischen architektonischen Detail. Die Resolution 1916 Bebauungsplan erforderlich Rückschlag in neue Gebäude und Türme beschränkt auf einen Prozentsatz der Losgröße , damit das Sonnenlicht , um die Straßen unten zu erreichen. Das Art-Deco- Design des Chrysler Building (1930) und Empire State Building ( 1931) , mit ihren sich verjüngenden Spitzen -und Stahltürme, die sich die Zonierung Anforderungen . </p><p> Skyline der Innenstadt umfasst die drittgrößte Geschäftsviertel in die USA (nach Midtown und Chicagos Loop) , und wurde einst von der Anwesenheit der Zwillingstürme des World Trade Center aus. Heute erfährt sie den raschen Wiederaufbau von Lower Manhattan, und wird sind das neue One World Trade Center Freedom Tower, der bis zu einer Höhe von 1776 m steigen wird , wenn in Downtown Skyline 2010. Die abgeschlossen wird auch bald bekommen bemerkenswerte Ergänzungen aus solchen Architekten wie Santiago Calatrava und Frank Gehry . Auch Goldman Sachs baut ein 225 Meter (750 Fuß) hoch , 43 -stöckiges Gebäude über die Straße aus dem World Trade Center . </p><p> New York City hat eine lange Geschichte von hohen Gebäuden. Es ist die Heimat von 10 Gebäuden, die das weltweit höchste Gebäude vollständig bewohnbar Titel zu einem bestimmten Zeitpunkt in der Geschichte gehalten haben , obwohl die Hälfte seit abgerissen. Das erste Gebäude, das höchsten Titel der Welt nach New York zu bringen, war die New York World -Gebäude, im Jahre 1890. Später war New York City sich die höchsten Gebäude der Welt, seit 75 Jahren kontinuierlich , beginnend mit der Park Row Building in 1899 und nach Abschluss der Sears Tower im Jahr 1974 endet mit 1 World Trade Center. </p>",nyc-skyline.jpg,https://www.youtube.com/watch?v=tPELWmTc2E8,"USA, Parks, Tourism",19a72030-9eb1-11e3-a5e2-0800200c9a66,1386222200
Big Air at Big Sky,de,Große Aussichten in Big Sky,"<p>Pulverschnee und breiten Pisten. In Big Sky kann man Montanas höchste Schisprung geniesse, und die eigene hohen Standards für Urlaubsziele bewahren? An der Gallatin River gelegen, und von die Gallatin National Forest und der 3.500 Meter hohen Lone Mountain umgeben, hat Big Sky 40 Meilen Langlaufloipen im Lone Mountain Ranch. Aber vergessen Sie nicht, die vier-Sterne-Hotels Moonlight Mountain Homes und Rainbow Ranch Lodge zu besuchen. </p> Als das Tor zum Yellowstone National Park bekannt, ist Big Sky nur 50 Meilen von Yellowstone Sehenswürdigkeiten wie Old Faithful, der Yellowstone River, Lamar Valley, und der Norris Geyser Basin entfernt. </p> Und es muss nicht im Winter sein: Sommer Reisen nach Big Sky bedeuten Angeln, Golfen, Wandern, Wildwasser-Rafting und Camping. </p>",bigsky.jpg,http://www.youtube.com/watch?v=WvXJFGq__R8,"Parks, Recreation, Resort, Vacation",0b86a41e-82ed-4e49-81c8-40817ce1fdc6,1384128000
The Night Side of Mumbai,de,Mumbai: Nachts in der City,"<p>Vergessen Sie New York. In Mumbai wird auch nicht besonders viel geschlafen. </p>Als ""City of Dreams"" bekannt, hier wirds genau so hart gefeiert wie gearbeitet. Für Pre-Clubbing Abendessen und Drinks, besuchen Sie Janata oder Ambience, gefolgt von einen Spaziergang entlang der Carter Street Promenade. Hier sind die besten Klubs der Stadt, wie zum Beispiel das Blue Frog oder Bonobo. Dazu kommen noch ausgefallene Locations wie Hype, Ren und Tryst. Bar Food-Optionen reicehn von Sushi und Indischen Snacks bis paniertes Hähnchen. </p> Verpassen Sie nicht das Aer-Bar auf der Dachtereasse des Four Seasons, wo sie mit dem Bollywood-Elite die Ansichten des Mahalaxmi Pferderennbahn, Haji Ali Moschee und die Bandra-Worli Sealink geniessen können. </p> Nach alle Feierlichkeiten wird wieder gegessen, am liebsten im Indian Hotel, Taj Ice Cream oder Delhi Zaika begrüßt. Für Wi-Fi-Zugang, empfielt sich das China House. </p>",mumbai.jpg,http://www.youtube.com/watch?v=PObLmiG68N0,"Nightlife, India",b6b77e31-8b6e-4c44-a229-b9d3305cee17,1383194684
Munich. There's Beer. But there's more.,de,München hat mehr als Bier zu bieten,"<p> Atemberaubende Architektur. Einige der besten Museen in Deutschland. Und Oktoberfest! Das gehört zur Münchenreise. </p> Das Oktoberfest, das zweiwöchige Fest des Bieres, die nun schon seit 1810 veranstaltet wird, startet mit einer Parade. Freuen Sie sich auf ein Konzert im Freien einschließlich aller Oktoberfest-Bands am zweiten Sonntag der Veranstaltung. Geniessen Sie einen Brezel und mal einen Maß - es werden knapp 7 Millionen davon getrunken jedes Jahr während des Festivals. <p> In der münchener Stadtmitte liegt der größte Markt, der Viktualienmarkt. Früher ein Bauernmarkt, der Viktualienmarkt zieht heute die Aufmerksamkeit der Gourmets und Feinschmecker. </p>",munich.jpg,https://www.youtube.com/watch?v=US3poyLLwI8,"Germany, Beer, Museums, Culture, Europe, Foodie",7e85852d-0eea-4e6b-83cb-3cc5e878dce7,1381313409
Doha: Because Everyone Else Goes To Dubai,de,Warum Doha? Weil alle eben nach Dubai fliegen,"<p>Hier können Sie am Strand liegen, einkaufen, golfen am Golf, oder auf einem Kamel reiten, aber die Chancen sind gut, dass Sie eine originelle Geschichte aus Doha werden, verglichen mit Ihr Kumpel, der nach Dubai gegangen ist. Besuchen Sie die einzigartige Museum für Islamische Kunst, die wiederum von TripAdvisor bewertet wurde als eine Favorit unter den Reisenden für 2013. </p> Wissen Sie, dass Ihre Reise eine  Erfahrung wird, nicht ein Rennen mit den anderen Touristen zur nächsten Attraktion. Doha ist ein unberührtes Stück des Nahen Ostens. Nehmen Sie eine Wüstensafari. Rauchen Sie einige Tabakpfeife (Shishas). Wenn Sie sich danach sehnen verwöhnt zu werden, gibt es noch Hotels wie Four Seasons, Ritz-Carlton, Imperial Suites, Grand Hyatt und Sheraton. </p> Doha wächst immer noch. Genießen Sie es, bevor wir es zu tode entwickeln. </p>",doha.jpg,http://www.youtube.com/watch?v=zLhypQOXZDc,"Beach, Golf, Museums, Art, Off The Beaten Path",730d3855-4e2f-40c3-a5fb-2322dc7f4c8d,1378062061
Welcome to Chicago. Here's what you'll be doing (sleep not included),de,Wilkommen in Chicago: geschlafen wird anderswo,"<p> Das Programm beginnt mit einem Besuch im Skydeck der Sears Tower. Der Turm ist stolze 412 Meter und 103 Stockwerke hoch, vergessen Sie nicht Lesestoff für den Aufzug einzupacken!  Wenn Sie fluussig sind können Sie die 99. Etage mieten. Danach, gehen Sie zum Art Institute of Chicago vorbei um etwas nützliches zu lernen, warum nicht? Entdecken Sie seinen mehr als 300.000 Kunstwerke oder hören Sie einen Vortrag. Es wird Ihnen bestimmt gut tun. </p> Sie müssen nicht alle 460 Geschäfte besuchen, aber Sie wollen wahrscheinlich mindestens einen Auge auf Magnificent Mile werfen: das John Hancock Center, Trump International Hotel und Tower, das Wrigley Building und Tribune Tower. </p> Nehmen Sie die Zeit, um Dinosaurier-Skelette im Field Museum of Natural History zu sehen. Dann natürlich besuchen Sie Navy Pier, Chicagos ""Spielplatz"" am Lake Michigan mit Kirmes, Segway-Touren und der Smith Museum of Stained Glass Windows. </p>",chicago.jpg,http://www.youtube.com/watch?v=BHBKyFRvLSE,"Midwest, Tourism, Art, Family Friendly",1948aef7-d099-46c9-857b-f8775db0fd3e,1373942013
